10 10 0 0 0 5
u
20 20 20 20 20 20 20 20 20 20 
l
0 0 0 0 0 0 0 0 0 0 
Q
64
0 1 1.000000
0 2 2.000000
0 3 4.000000
0 5 -1.000000
0 6 4.000000
0 7 4.000000
0 9 -3.000000
1 0 1.000000
1 1 -2.000000
1 5 -3.000000
1 6 1.000000
2 0 2.000000
2 2 -4.000000
2 3 -1.000000
2 6 2.000000
2 7 4.000000
2 8 -2.000000
2 9 -4.000000
3 0 4.000000
3 2 -1.000000
3 4 -4.000000
3 5 -3.000000
3 6 2.000000
3 7 3.000000
3 8 2.000000
3 9 -1.000000
4 3 -4.000000
4 4 5.000000
4 5 1.000000
4 6 -1.000000
4 8 1.000000
5 0 -1.000000
5 1 -3.000000
5 3 -3.000000
5 4 1.000000
5 6 -2.000000
5 7 -1.000000
5 8 -4.000000
5 9 -3.000000
6 0 4.000000
6 1 1.000000
6 2 2.000000
6 3 2.000000
6 4 -1.000000
6 5 -2.000000
6 9 -1.000000
7 0 4.000000
7 2 4.000000
7 3 3.000000
7 5 -1.000000
7 8 -1.000000
7 9 2.000000
8 2 -2.000000
8 3 2.000000
8 4 1.000000
8 5 -4.000000
8 7 -1.000000
9 0 -3.000000
9 2 -4.000000
9 3 -1.000000
9 5 -3.000000
9 6 -1.000000
9 7 2.000000
9 9 2.000000
c
0
Dq
116
0 1 6 1.000000
0 2 5 9.000000
0 2 9 5.000000
0 3 5 6.000000
0 4 6 9.000000
0 4 9 1.000000
0 5 2 9.000000
0 5 3 6.000000
0 5 9 6.000000
0 6 1 1.000000
0 6 4 9.000000
0 7 9 3.000000
0 8 9 3.000000
0 9 2 5.000000
0 9 4 1.000000
0 9 5 6.000000
0 9 7 3.000000
0 9 8 3.000000
0 10 10 2.000000
1 1 4 5.000000
1 1 7 9.000000
1 2 3 6.000000
1 2 10 2.000000
1 3 2 6.000000
1 3 3 2.000000
1 3 4 2.000000
1 3 5 1.000000
1 3 6 8.000000
1 4 1 5.000000
1 4 3 2.000000
1 4 4 7.000000
1 4 7 3.000000
1 5 3 1.000000
1 5 8 4.000000
1 6 3 8.000000
1 6 10 5.000000
1 7 1 9.000000
1 7 4 3.000000
1 8 5 4.000000
1 8 9 8.000000
1 9 8 8.000000
1 9 9 1.000000
1 10 2 2.000000
1 10 6 5.000000
1 10 10 3.000000
2 2 7 7.000000
2 2 10 7.000000
2 3 5 8.000000
2 3 7 6.000000
2 3 9 7.000000
2 3 10 2.000000
2 5 3 8.000000
2 5 9 6.000000
2 7 2 7.000000
2 7 3 6.000000
2 8 8 1.000000
2 9 3 7.000000
2 9 5 6.000000
2 10 2 7.000000
2 10 3 2.000000
3 1 2 2.000000
3 1 3 1.000000
3 1 5 1.000000
3 1 7 4.000000
3 2 1 2.000000
3 2 5 5.000000
3 2 7 1.000000
3 2 9 3.000000
3 3 1 1.000000
3 3 6 5.000000
3 4 6 7.000000
3 4 8 8.000000
3 5 1 1.000000
3 5 2 5.000000
3 5 6 6.000000
3 5 8 3.000000
3 6 3 5.000000
3 6 4 7.000000
3 6 5 6.000000
3 7 1 4.000000
3 7 2 1.000000
3 8 4 8.000000
3 8 5 3.000000
3 8 8 1.000000
3 9 2 3.000000
4 1 5 3.000000
4 1 6 2.000000
4 1 7 2.000000
4 2 4 6.000000
4 2 6 5.000000
4 2 10 6.000000
4 3 5 8.000000
4 3 7 9.000000
4 4 2 6.000000
4 4 4 3.000000
4 4 6 7.000000
4 5 1 3.000000
4 5 3 8.000000
4 5 5 6.000000
4 5 10 1.000000
4 6 1 2.000000
4 6 2 5.000000
4 6 4 7.000000
4 7 1 2.000000
4 7 3 9.000000
4 7 7 6.000000
4 7 9 9.000000
4 7 10 6.000000
4 8 9 9.000000
4 9 7 9.000000
4 9 8 9.000000
4 9 9 2.000000
4 10 2 6.000000
4 10 5 1.000000
4 10 7 6.000000
4 10 10 5.000000
eq
5
0 3520.000000
1 4760.000000
2 3480.000000
3 3720.000000
4 6720.000000
